iter	Passed	Remaining
0	1	939
1	3	820
2	4	770
3	6	745
4	7	741
5	8	728
6	10	717
7	11	720
8	13	721
9	15	740
10	16	737
11	18	734
12	19	729
13	20	721
14	22	719
15	23	721
16	25	718
17	26	717
18	28	715
19	30	723
20	31	724
21	33	724
22	34	723
23	36	728
24	38	724
25	39	721
26	41	718
27	42	716
28	44	715
29	45	719
30	47	714
31	48	710
32	49	706
33	51	706
34	53	704
35	54	701
36	55	698
37	57	695
38	58	693
39	60	691
40	61	691
41	63	690
42	64	688
43	66	688
44	68	690
45	69	686
46	71	686
47	72	683
48	73	680
49	75	679
50	76	677
51	79	686
52	81	686
53	82	683
54	84	680
55	85	677
56	86	673
57	88	674
58	90	674
59	92	678
60	94	676
61	95	673
62	96	669
63	97	665
64	99	663
65	100	659
66	101	656
67	102	654
68	104	650
69	105	649
70	107	648
71	108	645
72	109	642
73	111	639
74	112	636
75	113	633
76	114	630
77	115	627
78	117	625
79	118	623
80	121	626
81	122	626
82	124	624
83	125	623
84	127	622
85	128	619
86	130	617
87	131	615
88	132	613
89	134	612
90	136	613
91	138	612
92	139	610
93	140	608
94	142	605
95	143	603
96	144	601
97	146	599
98	147	597
99	149	596
100	151	596
101	152	595
102	153	593
103	155	591
104	156	589
105	157	586
106	159	585
107	160	583
108	162	582
109	163	580
110	164	577
111	166	577
112	167	575
113	169	573
114	170	571
115	171	569
116	173	566
117	174	564
118	175	562
119	177	560
120	178	558
121	179	556
122	181	555
123	182	554
124	184	552
125	185	550
126	186	548
127	188	546
128	189	544
129	190	542
130	192	540
131	193	538
132	194	536
133	196	535
134	197	533
135	198	532
136	200	530
137	201	528
138	202	526
139	204	524
140	205	522
141	206	520
142	207	518
143	208	516
144	210	514
145	211	513
146	213	512
147	214	510
148	215	508
149	217	506
150	218	504
151	219	502
152	220	500
153	222	498
154	223	496
155	224	495
156	225	493
157	227	492
158	228	490
159	230	489
160	231	488
161	233	486
162	234	485
163	235	483
164	237	481
165	238	479
166	239	477
167	240	476
168	242	475
169	244	473
170	245	472
171	246	470
172	247	468
173	249	466
174	250	465
175	251	463
176	252	461
177	254	459
178	255	457
179	256	456
180	258	455
181	259	453
182	260	452
183	262	450
184	263	448
185	264	446
186	265	444
187	267	443
188	268	441
189	269	439
190	270	437
191	272	436
192	273	435
193	275	433
194	276	432
195	277	430
196	278	428
197	280	427
198	281	425
199	282	423
200	283	421
201	284	420
202	286	418
203	288	418
204	289	416
205	290	414
206	291	413
207	292	411
208	294	409
209	295	407
210	296	406
211	297	404
212	299	403
213	300	401
214	301	400
215	303	398
216	304	397
217	306	395
218	307	394
219	308	392
220	309	390
221	310	389
222	312	387
223	313	386
224	314	384
225	315	383
226	317	381
227	319	380
228	320	379
229	321	377
230	323	376
231	324	374
232	325	373
233	326	371
234	328	370
235	329	368
236	331	367
237	332	366
238	334	365
239	335	363
240	337	362
241	338	360
242	339	359
243	340	357
244	342	356
245	343	354
246	344	353
247	345	351
248	347	349
249	348	348
250	349	347
251	351	345
252	352	343
253	353	342
254	354	340
255	355	339
256	358	338
257	359	337
258	360	335
259	361	334
260	363	332
261	364	331
262	366	329
263	367	328
264	368	326
265	369	325
266	370	323
267	372	322
268	373	320
269	374	319
270	375	317
271	376	315
272	377	314
273	379	313
274	380	311
275	382	310
276	383	308
277	384	307
278	386	305
279	387	304
280	388	302
281	389	301
282	390	299
283	392	298
284	393	296
285	395	295
286	396	294
287	397	292
288	398	291
289	400	289
290	401	288
291	402	286
292	403	285
293	404	283
294	406	282
295	407	280
296	408	279
297	410	278
298	411	276
299	413	275
300	414	273
301	415	272
302	416	270
303	417	269
304	418	267
305	420	266
306	421	264
307	422	263
308	423	261
309	425	260
310	426	259
311	428	258
312	429	256
313	430	255
314	432	253
315	433	252
316	434	250
317	435	249
318	436	247
319	438	246
320	439	245
321	441	243
322	442	242
323	443	240
324	444	239
325	446	238
326	447	236
327	448	235
328	449	233
329	450	232
330	452	230
331	453	229
332	454	227
333	456	226
334	457	225
335	459	224
336	460	222
337	461	221
338	462	219
339	463	218
340	465	216
341	466	215
342	467	213
343	468	212
344	469	211
345	471	209
346	472	208
347	474	207
348	475	205
349	476	204
350	478	202
351	479	201
352	480	200
353	481	198
354	483	197
355	484	195
356	485	194
357	487	193
358	488	191
359	489	190
360	491	189
361	492	187
362	493	186
363	495	184
364	496	183
365	497	182
366	498	180
367	499	179
368	501	178
369	502	176
370	504	175
371	505	173
372	506	172
373	507	171
374	509	169
375	510	168
376	511	166
377	512	165
378	513	164
379	515	162
380	516	161
381	518	160
382	519	158
383	520	157
384	521	155
385	522	154
386	524	153
387	525	151
388	526	150
389	528	148
390	529	147
391	531	146
392	533	145
393	534	143
394	536	142
395	537	141
396	538	139
397	540	138
398	542	137
399	544	136
400	545	134
401	547	133
402	548	132
403	550	130
404	551	129
405	552	128
406	554	126
407	555	125
408	557	123
409	558	122
410	559	121
411	561	119
412	562	118
413	564	117
414	565	115
415	567	114
416	568	113
417	569	111
418	571	110
419	572	109
420	573	107
421	575	106
422	576	104
423	578	103
424	580	102
425	581	101
426	582	99
427	584	98
428	585	96
429	586	95
430	588	94
431	589	92
432	590	91
433	591	90
434	593	88
435	595	87
436	596	86
437	598	84
438	599	83
439	600	81
440	602	80
441	603	79
442	604	77
443	605	76
444	607	75
445	609	73
446	610	72
447	612	71
448	613	69
449	614	68
450	616	66
451	617	65
452	618	64
453	619	62
454	621	61
455	622	60
456	624	58
457	625	57
458	626	55
459	627	54
460	629	53
461	630	51
462	632	50
463	633	49
464	634	47
465	635	46
466	636	44
467	637	43
468	639	42
469	640	40
470	641	39
471	643	38
472	644	36
473	645	35
474	646	34
475	648	32
476	649	31
477	650	29
478	651	28
479	652	27
480	654	25
481	655	24
482	657	23
483	658	21
484	659	20
485	660	19
486	662	17
487	663	16
488	664	14
489	665	13
490	666	12
491	667	10
492	669	9
493	671	8
494	672	6
495	673	5
496	674	4
497	676	2
498	677	1
499	678	0
